bloque,cadena,hash,zeros,intentos
angel25fc00572525a3ade1f6819cbce7b3673acf586bd7f5985c0878f31b3749e6ea,1079328610075253344033669483301657026608298730587641415407535058870603749149344096591054724859703417005111452284985713492035615572344892900589912999204071,04e7a72e313508b6c8d9814105cbacc21d1f871ee9966f7c032e92134c0cc6a7,3,3
angel04e7a72e313508b6c8d9814105cbacc21d1f871ee9966f7c032e92134c0cc6a7,334120962445192784806869784685669733046314074907320939427625501974051260224482598344549978112210751204670581698638539378745290174554570975963595303542255,0fcaffa2f007331b32de0be4059e7f02bc7ed7ef2eff019900c60b517f422e07,3,12
angel0fcaffa2f007331b32de0be4059e7f02bc7ed7ef2eff019900c60b517f422e07,3504698499383410122840530452456836042252131461852637675283997478098603112534031232431191321877074518457527937268426335112759355890545555440634569446893440,1afa2f0af07c5484c23762936f9f65bd0b765167d6dff40b29f91fe29e9d9998,3,3
angel1afa2f0af07c5484c23762936f9f65bd0b765167d6dff40b29f91fe29e9d9998,6951814772034318725908402420048018660647339360265892037521996788033911549243762368128538678754881434560548926962273316178783069102661991142217521704735244,196fe0034fe302ff5752fbae4f9fb2eed930f739fd602e06ad1be5226d65064e,3,10
angel196fe0034fe302ff5752fbae4f9fb2eed930f739fd602e06ad1be5226d65064e,3321407245933165224130360394570283116404146768226587432589023037011841731724766419480935426575599191970799205311803676743182064215453347271793561752452800,0b5b073026461ec5bb8068f0adbffd70d75e9022820d352cdb4b1c68e3e1baed,3,6
angel0b5b073026461ec5bb8068f0adbffd70d75e9022820d352cdb4b1c68e3e1baed,11908961197627530321187829705342000156832813457104320968601630699927698980106657093119832637208673835901143271037667613411143768056157785579208485153990803,00719d5abb8112a375d17aded9fc599baa09929a3b72afad01b765cce1822b46,3,3
angel00719d5abb8112a375d17aded9fc599baa09929a3b72afad01b765cce1822b46,7629497928165855068968661932685245657056146218909372763911726238636646604654204365797716941467294837768550890208173146521166011019017448868088111358946157,15f893c27a6064d1da8a913cc652cadfcfe50eabe4a07433cdbf062255ef3f36,3,8
angel15f893c27a6064d1da8a913cc652cadfcfe50eabe4a07433cdbf062255ef3f36,1780499886567555125570887463087185637243144713906831338796547278854533681062451029722733631514535828229084074958446857765551698716850746204148245677902203,00f384936ab5bc51d5621847ed1b095ddb315ae9ee9e05483039c5273e04cc48,3,5
angel00f384936ab5bc51d5621847ed1b095ddb315ae9ee9e05483039c5273e04cc48,6117446340231115249687781005726773919554635803197664899774362221182414281093396041228537673078424003318636725257770579748591171266877519756544936893452132,176e155019260bb152df8d4768a4a816d6635e208d0187d2d725dc5970ad661b,3,5
angel176e155019260bb152df8d4768a4a816d6635e208d0187d2d725dc5970ad661b,8233298407911893740793564613491275033567145494420537555920078575609384066360815559670253831470714457275379899591574400865772258568099570042622546302540907,0162f293cbe4a906bbe1c70e8ac8a9da79e1439dd53dc4227e2ad37a88c182ad,3,20
