bloque,cadena,hash,zeros,intentos
angelSdKBrOwn6Y,817999906687554909913190,05242a3d736b26b2206680d97af792b66b2c807a84c0e32c8e9386744beb74fd,2,5
angel05242a3d736b26b2206680d97af792b66b2c807a84c0e32c8e9386744beb74fd,9846146367539004831636962936939599902152913567502602850883353796225323849643139259526627287330285548291414029300075518815516745531733653858441203505355189,2d969688ca5990b10866d80a5157acb5a8b47146a86ba00918f3c87295257fa9,2,2
angel2d969688ca5990b10866d80a5157acb5a8b47146a86ba00918f3c87295257fa9,3030647400148808959170139058648449200897735943952461944616388094122678970151303733432446459073470837598433481445293338333468151162788475654081734119290857,1ca38591b48ec9a626fef6ac0ec81056a18aeeafe22c62aac8ea00d250da14dc,2,5
angel1ca38591b48ec9a626fef6ac0ec81056a18aeeafe22c62aac8ea00d250da14dc,655789115895854404474003253488025529315435691248836527083448755790377104247607252613756587530802073206250286332098998195413358876313712559911036930768461,1150e89c7cf2bc507675bcca4152bb513f019dd135f4a579a2b23a8d1917d06d,2,1
angel1150e89c7cf2bc507675bcca4152bb513f019dd135f4a579a2b23a8d1917d06d,11763680198908911778151582253145841551889296428999326057962676642117859478864420451149605043295471246727864603013106442959608326041050216754642079294636218,27a2138645398342aec35101779229063c5b71cffd5a01fa24f696057704fe89,2,1
angel27a2138645398342aec35101779229063c5b71cffd5a01fa24f696057704fe89,1720494732740529232530787744084932083610759438710049094297296834416065489328105384833991848518422532577118211934975653608491343995720824645127457138547904,1a2c9dc7a5b80774231d92de95826347c15b035e0e78e7c4cd8369528600d1a1,2,1
angel1a2c9dc7a5b80774231d92de95826347c15b035e0e78e7c4cd8369528600d1a1,10606689930520527917308035364001514297390927487331301495352870977594074619133766977520408427730200771780035436228413989494436215711200626810956937451075908,39b29c7a626baff07bf19b328b16260f6ab41eba19c46ed119cc1bd38bfd668a,2,3
angel39b29c7a626baff07bf19b328b16260f6ab41eba19c46ed119cc1bd38bfd668a,2783253224560868851070898495266282897026927404170884776739938459729478460784689584521639674577457090102067863173256629263824447496360437792814383778699625,08f6427f28041a3ff9e18d7a2d10e436eef5476ffa114b054eabbde822536a58,2,2
angel08f6427f28041a3ff9e18d7a2d10e436eef5476ffa114b054eabbde822536a58,8378172334555914196256084938085530254923009994483935455686860660051304751690245723390301051649948099157305365320732463982605117500719020853412376088626833,16f21be8f9e7b772e09bfc2e56572b67fd530999d4fcebff89dcee9280aacca4,2,2
angel16f21be8f9e7b772e09bfc2e56572b67fd530999d4fcebff89dcee9280aacca4,2765695065973159673765264787868850360813308228070660076987510038583686440879215705838048364144933203599389638914544289716266858902094142252216854334953236,25fc00572525a3ade1f6819cbce7b3673acf586bd7f5985c0878f31b3749e6ea,2,17
